stop_id,stop_name,stop_lat,stop_lon,trip_count,routes
0001RLW,Railways,-1.290884,36.828242,14,125 126 56 2 8 102 111
0002KOJ,Koja,-1.28123,36.822596,0,
0003NGR,Ngara,-1.274395,36.823806,0,
0004ODN,Odeon,-1.282769,36.825032,0,
0005AMB,Kencom/Ambassadeur,-1.285963,36.826048,0,
0006BSS,Bus Station,-1.287191,36.828881,0,
0007COM,Commercial,-1.284282,36.826188,0,
0008MUT,Muthurwa,-1.288049,36.833947,0,
0010OTC,OTC,-1.284947,36.830994,0,
0011TUS,Tusker/Ronald Ngala,-1.285346,36.828574,0,
0013ALS,Allsops,-1.244951,36.867888,0,
0014KRA,Kariobangi Round About,-1.262408,36.879051,0,
010044G,44 Githurai,-1.195514,36.902695,1,107D
0100AAA,Sahala,-1.206232,36.790681,1,107D
0100AAE,Aga Khan Hospital Entrance,-1.26177,36.82218,1,11A
0100ACP,PCEA,-1.184213,36.907515,1,107D
0100AEI,Nyari Police,-1.225512,36.788042,1,108
0100AEL,Membley Stage,-1.160297,36.922367,1,107D
0100AKA,Chamoka,-1.218551,36.774437,1,108
0100AL2,Lane 26,-1.202838,36.769285,1,114R
0100AMY,Kwa Nyama,-1.204494,36.786014,1,107D
0100ANJ,Kwa Kiwanja,-1.171676,36.916509,1,107D
0100A.P,A.P.,-1.178289,36.91196,1,107D
0100APC,PCEA,-1.188633,36.737222,1,114R
0100ARG,Arya Girls' Secondary School,-1.26081,36.81997,1,11A
0100ARI,Kwa Daktari,-1.185329,36.733381,1,114R
0100ASD,Ambassadors,-1.19794,36.75537,2,107 114R
0100ASW,Car Wash,-1.204816,36.782559,1,107D
0100AWA,Wataalam,-1.149612,36.947408,1,107D
0100BKH,Bypass Stage Kiambu,-1.215781,36.835061,1,107D
0100BKK,Kabuku,-1.154729,36.674563,1,114R
0100BLD,God's Ability,-1.202672,36.768719,1,107
0100CAR,Kwa Machiri,-1.173731,36.712964,1,114R
0100CBR,Cooperative Bank Ruaka,-1.20678,36.78464,2,107 114R
0100CCD,Coca Cola Depot,-1.25983,36.8176,1,11A
0100CHE,Commission Of Higher Education,-1.227579,36.797994,1,108
0100CHL,Chantilly School,-1.181032,36.762044,2,106 116
0100CTC,Christco,-1.19626,36.75305,2,107 114R
0100CTR,Doctor's Park,-1.261466,36.821647,1,11A
0100DPA,Delta Petrol Station Ruaka/Border,-1.208925,36.787827,4,106 107 116 11B
0100EIE,Mfereji,-1.20309,36.770237,1,107
0100EIL,Milele,-1.200816,36.762284,1,114R
0100EIO,Sovereign,-1.169498,36.700194,1,114R
0100ESN,Dispensary,-1.190205,36.739137,1,114R
0100GAO,Kahigo,-1.203959,36.773405,1,114R
0100GUG,Guango,-1.195629,36.780871,2,106 116
0100GVS,Green Valley School,-1.124978,36.677156,1,116
0100HYD,Shady,-1.193876,36.749756,1,114R
0100IKW,Kwa Viti,-1.186262,36.734438,1,114R
0100ILL,Milele,-1.204421,36.77496,1,114R
0100INT,Nish Raaj Estate,-1.257623,36.812493,1,11A
0100ITS,Gwaiti,-1.186867,36.735148,1,114R
0100JAK,Jakai,-1.219687,36.77222,1,108
0100JO.,O.J,-1.152971,36.920232,1,107D
0100JOA,Kianjogu,-1.183204,36.730275,1,114R
0100JYL,Joyland,-1.204897,36.776615,1,107
0100KCK,Kenchic,-1.132722,36.69801,1,116
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817,1,107D
0100KMU,Kwa Sukuma,-1.179068,36.724052,1,114R
0100KNA,Kona,-1.221391,36.779214,1,108
0100KNE,Kwa Njenga,-1.220364,36.778455,1,108
0100KSS,Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary,-1.189608,36.773253,2,106 116
0100KTC,Quickmart,-1.20672,36.783439,2,107 114R
0100KWH,Kwa Chief,-1.216485,36.821754,1,107D
0100LDL,Redhill,-1.169992,36.701473,1,114R
0100LHH,Jamhuri School,-1.272504,36.822575,1,114R
0100LIK,Likoni,-1.179095,36.760938,2,106 116
0100LMC,Limuru Catering,-1.124471,36.679689,1,116
0100LPS,Limuru Post Office,-1.118464,36.643126,1,116
0100LSM,Life Sanctuary/Muchatha,-1.191495,36.775223,2,106 116
0100..M,K.M.,-1.167727,36.919008,1,107D
0100MCO,Stima Sacco,-1.272774,36.820861,1,107
0100MCY,Mothers Mercys/GD,-1.179957,36.725401,1,114R
0100MFB,Mifereji/God's Ability,-1.20213,36.76693,2,107 114R
0100MIS,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297,2,106 116
0100MOM,Mombasa,-1.17786,36.760345,2,106 116
0100MOU,Mugumo,-1.209636,36.799865,1,107D
0100MRB,Maramba Tea Factory,-1.134476,36.703498,1,116
0100MRC,Movers/Rosslyn Centre,-1.210948,36.790209,5,106 107 114R 116 11B
0100NAM,National Oil/Muchatha,-1.193428,36.777892,2,106 116
0100NCE,Container,-1.204523,36.77554,1,114R
0100NDT,Ndenderu Junction,-1.19233,36.7437,2,107 114R
0100NJT,Kwa Njoki/Thimbigwa Ack,-1.183852,36.763684,2,106 116
0100NKD,Ndenderu Kwa Maduka,-1.19449,36.75061,1,107
0100NMT,New Muthaiga,-1.228621,36.798616,1,108
0100NRP,Round About Eastern Bypass,-1.155235,36.926119,1,107D
0100NSO,Movers,-1.210059,36.789171,2,106 107
0100ONO,Ngomongo,-1.202822,36.890145,1,107D
0100OOA,Kwa Soko,-1.149789,36.948829,1,107D
0100OTN,Hilton,-1.150637,36.94259,1,107D
0100OTS,Posta,-1.170669,36.708026,1,114R
0100PEF,Pefa/All Nations/Muchatha,-1.197129,36.782933,2,106 116
0100PNA,Amani Plaza,-1.259626,36.817136,1,11A
0100POA,Pa Mutoori,-1.202194,36.767171,1,114R
0100POW,Power,-1.21731,36.778253,1,108
0100PSA,La Philla Carwash,-1.190634,36.906088,1,107D
0100RBJ,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602,5,106 107 114R 116 11B
