route_name,route_long,headsign,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source,saccos
106,Koja-UN-Ruaka-Banana,Koja,-1.173842,36.758779,-1.281393,36.822572,13.9,120,survey (2026 actual),LOPHA MULTIPURPOSE CO-OP SOCIETY
107,Odeon-UN-Ruaka-Ndenderu,Odeon,-1.194366,36.731983,-1.282981,36.82475,14.26,100,survey (2026 actual),LOPHA MULTIPURPOSE CO-OP SOCIETY
108,UN-New Muthaiga-Gachie-Gichagi,UNEP,-1.219561,36.76672,-1.238446,36.810427,5.29,40,calibrated (x0.906),UNMATCHED
114R,Ngara-Rwaka-Ndenderu-Limuru,Ngara,-1.108037,36.643556,-1.273979,36.823463,27.21,200,survey (2026 actual),FIG KOMBA | LIKANA ROUTE 114/115 SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
116,Koja-Ngara-Banana-Limuru,Koja,-1.108047,36.64339,-1.281243,36.822583,27.71,200,calibrated (x0.906),FIG KOMBA | LIKANA ROUTE 114/115 SACCO LTD
11A,Odeon-Aga Khan-Highridge,Odeon,-1.256818,36.81078,-1.282992,36.82475,3.3,40,calibrated (x0.906),UNMATCHED
11B,Odeon-UN-Ruaka,Odeon,-1.207219,36.786019,-1.283024,36.824697,9.46,100,calibrated (x0.906),LOPHA MULTIPURPOSE CO-OP SOCIETY
107D,Ruaka-Ruiru,Ruaka,-1.147546,36.959338,-1.207137,36.785854,20.39,150,calibrated (x0.906),LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
145D,Torrents-Membley-Ruiru,Torrents,-1.147685,36.959376,-1.16446,36.956731,1.89,150,calibrated (x0.906),LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
6,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,Koja,-1.272236,36.848879,-1.28142,36.822658,3.09,50,survey (2026 actual),DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD
