route_name,route_long,headsign,direction,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source
106,Koja-UN-Ruaka-Banana,Koja,0,-1.173842,36.758779,-1.281393,36.822572,13.9,100,model (calibrated)
106,Koja-UN-Ruaka-Banana,Banana,1,-1.28142,36.822497,-1.173692,36.758666,13.92,100,model (calibrated)
107,Odeon-UN-Ruaka-Ndenderu,Odeon,0,-1.194366,36.731983,-1.282981,36.82475,14.26,70,nairobilifestyle.com
107,Odeon-UN-Ruaka-Ndenderu,Ndenderu,1,-1.28304,36.824777,-1.194355,36.732053,14.27,70,nairobilifestyle.com
108,UN-New Muthaiga-Gachie-Gichagi,UNEP,0,-1.219561,36.76672,-1.238446,36.810427,5.29,45,nairobilifestyle.com (avg 30-60 KSh)
108,UN-New Muthaiga-Gachie-Gichagi,Gichagi,1,-1.238789,36.81061,-1.219561,36.76672,5.33,45,nairobilifestyle.com (avg 30-60 KSh)
114R,Ngara-Rwaka-Ndenderu-Limuru,Ngara,0,-1.108037,36.643556,-1.273979,36.823463,27.21,200,model (calibrated)
114R,Ngara-Rwaka-Ndenderu-Limuru,Limuru,1,-1.273979,36.823463,-1.108037,36.643556,27.21,200,model (calibrated)
116,Koja-Ngara-Banana-Limuru,Koja,0,-1.108047,36.64339,-1.281243,36.822583,27.71,200,model (calibrated)
116,Koja-Ngara-Banana-Limuru,Limuru,1,-1.281259,36.822615,-1.107972,36.643535,27.71,200,model (calibrated)
11A,Odeon-Aga Khan-Highridge,Odeon,0,-1.256818,36.81078,-1.282992,36.82475,3.3,40,nairobilifestyle.com
11A,Odeon-Aga Khan-Highridge,Highridge,1,-1.28275,36.825051,-1.256822,36.810791,3.29,40,nairobilifestyle.com
11B,Odeon-UN-Ruaka,Odeon,0,-1.207219,36.786019,-1.283024,36.824697,9.46,100,model (calibrated)
11B,Odeon-UN-Ruaka,Ruaka,1,-1.283035,36.824772,-1.207091,36.785842,9.49,100,model (calibrated)
107D,Ruaka-Ruiru,Ruaka,0,-1.147546,36.959338,-1.207137,36.785854,20.39,150,model (calibrated)
