route_name,route_long,headsign,saccos
106,Koja-UN-Ruaka-Banana,Koja,LOPHA MULTIPURPOSE CO-OP SOCIETY
107,Odeon-UN-Ruaka-Ndenderu,Odeon,LOPHA MULTIPURPOSE CO-OP SOCIETY
108,UN-New Muthaiga-Gachie-Gichagi,UNEP,UNMATCHED
114R,Ngara-Rwaka-Ndenderu-Limuru,Ngara,FIG KOMBA | LIKANA ROUTE 114/115 SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
116,Koja-Ngara-Banana-Limuru,Koja,FIG KOMBA | LIKANA ROUTE 114/115 SACCO LTD
11A,Odeon-Aga Khan-Highridge,Odeon,UNMATCHED
11B,Odeon-UN-Ruaka,Odeon,LOPHA MULTIPURPOSE CO-OP SOCIETY
107D,Ruaka-Ruiru,Ruaka,LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
145D,Torrents-Membley-Ruiru,Torrents,LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
6,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,Koja,DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD
23W,Nation Building-Museum Hill-Graffins College-Westlands,Koja,WALOKANA MULTIPURPOSE SACCO LTD
25,Odeon-Pangani-Alssops-Baba Dogo,Odeon,BABA DOGO 25 TRAVELLERS SACCO | LUCKY BABA DOGO TRAVELLERS SACCO
27,Kariobangi North - Thika road - Town,OTC,DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD | NAKATHI TRAVELLERS SACCO LTD
39,"Bypass Ruiru, City Cabanas",City Cabanas,LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
42,Allsops-Rounda-Dandora,Allsops,ALSOPS TRAVELLERS SERVICE LTD | DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
43,Bus Station-Pangani-Allsops-Ngumba,Bus Station,ALSOPS TRAVELLERS SERVICE LTD
